ExperimentName,Subject,Ans,C1,C2,C3,cratSlide2.ACC,cratSlide2.RESP,cratSlide2.RT,inSlide.RESP,inSlide.RT
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,RACE{ENTER},HORSE,HUMAN,DRAG,0,,0,0,1871
CRAT,121,GOLD{ENTER},FISH,MINE,RUSH,1,gold{ENTER},1751,4,2602
CRAT,121,SAW{ENTER},MILL,TOOTH,DUST,0,,0,0,1456
CRAT,121,RING{ENTER},MASTER,TOSS,FINGER,0,,11551,0,1363
CRAT,121,STATION{ENTER},WAGON,BREAK,RADIO,1,station{ENTER},4792,3,3063
CRAT,121,CALL{ENTER},CAT,NUMBER,PHONE,1,call{ENTER},4792,2,2200
CRAT,121,SUIT{ENTER},WET,LAW,BUSINESS,0,,0,0,1251
CRAT,121,CAMP{ENTER},BOOT,SUMMER,GROUND,1,camp{ENTER},1927,3,2755
CRAT,121,STREET{ENTER},MAIN,SWEEPER,LIGHT,1,street{ENTER},12587,2,2441
CRAT,121,PAPER{ENTER},FLY,CLIP,WALL,0,,0,0,1244
CRAT,121,WALK{ENTER},WAY,BOARD,SLEEP,0,head{ENTER},7876,3,1774
CRAT,121,RED{ENTER},CARPET,ALERT,INK,1,red{ENTER},19709,3,3974
CRAT,121,TREE{ENTER},PALM,SHOE,HOUSE,0,,0,0,1922
CRAT,121,SPACE{ENTER},CADET,CAPSULE,SHIP,0,time{ENTER},8461,2,2366
CRAT,121,BRUSH{ENTER},SAGE,PAINT,HAIR,1,brush{ENTER},1895,4,2725
CRAT,121,BOAT{ENTER},SHOW,LIFE,ROW,0,,0,0,1465
CRAT,121,PIT{ENTER},PEACH,ARM,TAR,0,,0,0,528
CRAT,121,HEAD{ENTER},HAMMER,GEAR,HUNTER,1,head{ENTER},9555,2,3188
CRAT,121,MOON{ENTER},SHINE,BEAM,STRUCK,0,star{ENTER},5062,2,1418
CRAT,121,SOAP{ENTER},OPERA,HAND,DISH,1,soap{ENTER},1844,4,2212
CRAT,121,WRITER{ENTER},TYPE,GHOST,SCREEN,0,,0,0,1525
CRAT,121,FIGURE{ENTER},EIGHT,SKATE,STICK,1,figure{ENTER},2497,4,2933
CRAT,121,BLOOD{ENTER},HOUND,PRESSURE,SHOT,0,under{ENTER},18017,2,2531
CRAT,121,HOLE{ENTER},FOX,MAN,PEEP,0,,0,0,1377
CRAT,121,GIRL{ENTER},FLOWER,FRIEND,SCOUT,0,,0,0,2215
CRAT,121,TURN{ENTER},PIKE,COAT,SIGNAL,0,,0,0,849
CRAT,121,CHEESE{ENTER},COTTAGE,BRICK,CAKE,0,hous,24740,0,2120
CRAT,121,POWDER{ENTER},KEG,PUFF,ROOM,0,,0,0,1661
CRAT,121,COMMON{ENTER},SENSE,COURTESY,PLACE,1,common{ENTER},15597,1,2616
CRAT,121,MARK{ENTER},DOWN,QUESTION,CHECK,0,,0,0,2669
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,121,,,,,,,,,
CRAT,120,,,,,,,,,
CRAT,120,,,,,,,,,
CRAT,120,,,,,,,,,
CRAT,120,,,,,,,,,
CRAT,120,,,,,,,,,
CRAT,120,RING{ENTER},MASTER,TOSS,FINGER,1,RING{ENTER},2492,4,1903
CRAT,120,STATION{ENTER},WAGON,BREAK,RADIO,1,STATION{ENTER},9432,2,5855
CRAT,120,BLOOD{ENTER},HOUND,PRESSURE,SHOT,1,BLOOD{ENTER},5489,3,4561
CRAT,120,BRUSH{ENTER},SAGE,PAINT,HAIR,0,WET{ENTER},1778,3,2100
CRAT,120,CAMP{ENTER},BOOT,SUMMER,GROUND,1,CAMP{ENTER},1265,4,1306
CRAT,120,SAW{ENTER},MILL,TOOTH,DUST,1,SAW{ENTER},5479,3,2713
CRAT,120,RACE{ENTER},HORSE,HUMAN,DRAG,1,RACE{ENTER},1354,4,1151
CRAT,120,MOON{ENTER},SHINE,BEAM,STRUCK,1,MOON{ENTER},8221,2,6056
CRAT,120,FIGURE{ENTER},EIGHT,SKATE,STICK,0,BALL{ENTER},9508,2,2056
CRAT,120,TREE{ENTER},PALM,SHOE,HOUSE,1,TREE{ENTER},3040,3,2459
CRAT,120,BOAT{ENTER},SHOW,LIFE,ROW,1,BOAT{ENTER},3679,3,2127
CRAT,120,RED{ENTER},CARPET,ALERT,INK,1,RED{ENTER},1988,4,1804
CRAT,120,SOAP{ENTER},OPERA,HAND,DISH,1,SOAP{ENTER},11950,3,1336
CRAT,120,CALL{ENTER},CAT,NUMBER,PHONE,1,CALL{ENTER},11289,3,1887
CRAT,120,MARK{ENTER},DOWN,QUESTION,CHECK,1,MARK{ENTER},2353,4,2107
CRAT,120,GOLD{ENTER},FISH,MINE,RUSH,0,,0,0,1731
CRAT,120,SUIT{ENTER},WET,LAW,BUSINESS,0,,0,0,1265
CRAT,120,CHEESE{ENTER},COTTAGE,BRICK,CAKE,1,CHEESE{ENTER},2584,4,1832
CRAT,120,POWDER{ENTER},KEG,PUFF,ROOM,0,SMALL{ENTER},5531,4,1835
CRAT,120,STREET{ENTER},MAIN,SWEEPER,LIGHT,1,STREET{ENTER},6077,3,2390
