"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41","Response_42","Response_43","Response_44","Response_45","Response_46","Response_47","Response_48","Response_49","Response_50","Response_51","Response_52","Response_53","Response_54","Response_55","Response_56","Response_57","Response_58","Response_59","Response_60","Response_61","Response_62","Response_63","Response_64","Response_65","Response_66","Response_67","Response_68","Response_69","Response_70","Response_71"
"102","dog","cat","tiger","elephant","horse","camel","lion","deer","mouse","cheetah","giraffe","monkey","donkey","leopard","bear","lizard","snake","gorilla","meerkat","platypus","crocodile","caiman","buffalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","mammal","reptile","bird","parrot","pigeon","hawk","vulture","dove","woodpecker","lion","cheetah","tiger","panther","cat","dog","german shepherd","bernese mountain dog","bichon frize","fish","bass","rainbow trout","shark","hammerhead shark","great white shark","giraffe","hippopotamus","rhinoceros","elephant","kangaroo","snake","diamondback","rattlesnake","garter snake","goldfish","eel","sting ray","dolphin","seal","orca","polar bear","brown bear","black bear","grizzly bear","goat","mountain goat","ram","sheep","bighorn sheep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","dog","cat","fish","snake","goldfish","golden retriever","german shepherd","porcupine","chinchilla","rattlesnake","python","viper","mouse","rat","bird","golden eagle","eagle","blue jay","mockingbird","cardinal","coyote","fox","anaconda","giraffe","elephant","rhinoceros","cheetah","leopard","husky","poodle","deer","reindeer","moose","goose","duck","antelope","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","dog","cat","mouse","horse","ferret","dolphin","shark","whale","turtle","hamster","snake","bird","robin","hawk","eagle","jackrabbit","rabbit","hare","wolf","hyena","meerkat","pig","hog","bull","warthog","lion","tiger","bear","eel","fish","fawn","deer","cow","monkey","gorilla","ape","orangutan","penguin","leech","cheetah","zebra","giraffe","camel","polar bear","coyote","chicken","turkey","buffalo","iguana","rooster","seahorse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","dog","cat","pet","pomeranian","yorkshire terrier","wolf","lion","elephant","bulldog","fox","mountain lion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","dog","cat","horse","bat","mouse","ram","sheep","llama","emu","kangaroo","dingo","wolf","bear","zebra","whale","fish","flounder","salmon","tuna","golden retriever","cow","barbet","hare","squirrel","chipmunk","tiger","rhinoceros","elephant","alligator","crocodile","bird","pigeon","raven","badger","wolverine","deer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","dog","cat","cow","turtle","lion","emu","snake","raccoon","rat","mouse","lizard","giraffe","elephant","zebra","hippopotamus","monkey","whale","dolphin","shark","jellyfish","fish","bird","hawk","cardinal","bear","polar bear","penguin","tiger","leopard","seal","octopus","puma","panther","wolf","husky","fox","eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","dog","cat","mouse","gerbil","rat","snake","python","tarantula","garter snake","horse","camel","donkey","lion","jaguar","rhinoceros","giraffe","lemur","monkey","ape","gorilla","owl","bird","hawk","eagle","pigeon","crow","deer","bear","alligator","fish","shark","hammerhead shark","snail","dolphin","sea turtle","tortoise","scorpion","starfish","whale","orca","elephant","lovebird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","dog","cat","rat","pig","goat","hamster","bird","moose","bunny","tiger","bear","cheetah","monkey","puppy","giraffe","horse","snake","bee","fly","ant","spider","bed bug","wolf","chinchilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","dog","cat","horse","turtle","monkey","gorilla","australian shepherd","west highland white terrier","old english sheepdog","border collie","yorkshire terrier","maltese","pit bull","boxer","german shepherd","golden doodle","cavalier king charles spaniel","cocker spaniel","lab","golden retriever","cow","pig","sheep","chicken","whale","dolphin","fish","bird","pigeon","peacock","poodle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","dog","cat","horse","frog","amphibian","mammal","shark","giraffe","leopard","sloth","toucan","crow","lizard","elephant","siberian tiger","sea bass","hammerhead shark","tiger shark","caribbean reef shark","beluga","orca","python","cornsnake","anaconda","raccoon","mouse","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","dog","cat","hamster","fish","raccoon","giraffe","lizard","rat","zebra","lion","snake","monkey","gorilla","horse","pig","goat","lamb","chicken","rooster","cow","bull","duck","otter","bird","hippopotamus","rhinoceros","frog","shark","penguin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","cat","dog","mouse","rat","horse","elephant","moose","goose","pig","cow","hen","chicken","bull","stallion","lizard","lion","tiger","bear","polar bear","penguin","monkey","gorilla","zebra","giraffe","peacock","lemur","koala","panda","turtle","rhinoceros","hedgehog","ferret","snail","porcupine","poodle","bulldog","chihuahua","pinto horse","bengal tiger","cheetah","wildcat","siamese cat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
